customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,No,21,No,No,No,No internet service,Yes,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),25.98,5877.51,No
CUST00002,Female,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),36.47,3370.53,Yes
CUST00003,Female,1,Yes,No,72,No,No,No,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,89.05,1220.8,No
CUST00004,Female,1,No,Yes,54,No,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,114.63,1598.61,Yes
CUST00005,Female,0,Yes,Yes,66,No,No,No,Yes,No internet service,No,No,No internet service,Yes,Two year,No,Mailed check,22.11,5916.36,Yes
CUST00006,Male,1,No,No,50,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),42.61,2720.78,Yes
CUST00007,Female,0,Yes,No,26,No,Yes,No,Yes,No,No internet service,No internet service,Yes,No,One year,No,Mailed check,65.09,6550.61,Yes
CUST00008,Female,0,No,No,43,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.68,2410.24,Yes
CUST00009,Female,1,Yes,No,31,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,116.79,1530.68,No
CUST00010,Male,1,No,No,19,No,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),98.8,3253.04,No
CUST00011,Female,0,Yes,No,55,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),23.85,4877.13,Yes
CUST00012,Female,1,No,No,6,No,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),102.97,3802.14,No
CUST00013,Male,0,Yes,Yes,47,No,No phone service,No,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),96.7,8495.07,No
CUST00014,Male,1,Yes,No,42,No,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),89.88,1945.61,No
CUST00015,Male,1,No,Yes,68,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),73.67,3717.16,No
CUST00016,Female,0,No,No,29,No,No phone service,No,No internet service,Yes,No,Yes,Yes,No internet service,One year,No,Electronic check,41.53,2408.11,No
CUST00017,Male,1,No,No,28,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),64.56,4643.66,Yes
CUST00018,Male,1,Yes,Yes,69,Yes,No phone service,No,No,Yes,No,No internet service,No,Yes,One year,No,Credit card (automatic),112.6,5515.28,No
CUST00019,Female,0,Yes,Yes,25,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),21.59,1674.72,Yes
CUST00020,Male,0,Yes,No,42,Yes,No phone service,No,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,97.43,8070.45,No
CUST00021,Male,1,Yes,Yes,62,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),66.23,1010.06,No
CUST00022,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.28,8027.97,No
CUST00023,Female,0,No,Yes,13,No,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,31.52,236.87,No
CUST00024,Male,1,Yes,No,72,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),65.47,4915.25,No
CUST00025,Female,0,Yes,No,65,No,No phone service,No,Yes,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),99.78,7656.92,No
CUST00026,Female,0,No,Yes,15,No,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),93.0,3465.65,Yes
CUST00027,Female,0,Yes,No,16,Yes,Yes,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,105.64,3388.47,Yes
CUST00028,Male,1,Yes,Yes,49,No,No phone service,DSL,No internet service,No,Yes,Yes,No,No,Two year,No,Electronic check,111.86,3546.89,Yes
CUST00029,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Bank transfer (automatic),42.84,1937.02,Yes
CUST00030,Female,1,Yes,No,12,No,No phone service,No,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),55.08,723.04,Yes
CUST00031,Female,1,No,No,18,No,No,DSL,No,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,49.29,3298.79,No
CUST00032,Female,1,No,No,41,No,No phone service,No,No,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),88.82,6384.94,No
CUST00033,Male,0,Yes,Yes,14,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),42.12,1701.6,No
CUST00034,Male,0,Yes,Yes,34,No,No,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,100.12,5451.16,Yes
CUST00035,Male,1,No,No,67,Yes,No phone service,No,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),111.87,6418.13,No
CUST00036,Male,1,No,Yes,51,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,109.43,6038.51,No
CUST00037,Female,1,Yes,Yes,51,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,48.82,8040.23,Yes
CUST00038,Female,0,Yes,No,21,No,No,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,61.7,5820.41,No
CUST00039,Male,0,Yes,Yes,62,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),50.18,2475.54,No
CUST00040,Male,0,No,No,64,No,Yes,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.68,6028.99,Yes
CUST00041,Female,1,No,Yes,3,No,No,Fiber optic,No internet service,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),58.24,8076.83,Yes
CUST00042,Male,1,Yes,Yes,64,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,No,One year,Yes,Electronic check,111.01,7508.92,Yes
CUST00043,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,92.62,3706.93,Yes
CUST00044,Male,0,Yes,Yes,71,No,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),48.61,2939.68,Yes
CUST00045,Female,0,No,Yes,16,Yes,Yes,DSL,No internet service,No,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),82.63,8467.44,No
CUST00046,Male,1,No,Yes,45,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,36.58,7251.42,No
CUST00047,Female,1,No,Yes,50,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),40.56,4492.32,Yes
CUST00048,Female,1,No,No,32,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),28.04,1937.35,No
CUST00049,Male,1,No,Yes,35,No,No,No,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.45,3842.43,Yes
CUST00050,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.74,796.82,Yes
CUST00051,Female,0,No,Yes,39,No,No,No,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),99.22,3700.72,No
CUST00052,Male,0,Yes,Yes,64,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,109.94,2542.76,Yes
CUST00053,Female,1,No,No,15,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,77.14,4308.4,Yes
CUST00054,Male,1,No,Yes,53,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),96.2,760.35,Yes
CUST00055,Male,0,No,No,3,No,No phone service,DSL,No,No,No,No internet service,No,No internet service,Two year,No,Electronic check,117.45,4777.33,No
CUST00056,Female,0,Yes,No,1,Yes,No phone service,No,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),50.08,8265.02,No
CUST00057,Male,1,Yes,No,51,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,109.29,5761.35,Yes
